Mobile,Route,Community,Stop,Address,Date,Day,Frequency,Start,End,Timetable
Residential homes,Tuesday Week 4,Chippenham,Seymour House,"Seymour House, Chippenham",2020-12-01,Tuesday,4,12:00,12:25,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/110
Residential homes,Tuesday Week 4,Chippenham,St. Clements,"St. Clements, Chippenham",2020-12-01,Tuesday,4,09:45,10:20,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/110
Residential homes,Tuesday Week 4,Chippenham,The Priory,"The Priory, Chippenham",2020-12-01,Tuesday,4,11:45,11:50,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/110
South,Monday Week 1,Chirton,The Street,"The Street, Chirton",2020-12-07,Monday,4,13:15,13:50,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/32
South,Monday Week 3,Chirton,The Street,"The Street, Chirton",2020-11-23,Monday,4,13:15,13:50,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/46
South,Friday Week 4,Chitterne,Car Park near the Church,"Car Park near the Church, Chitterne",2020-12-04,Friday,4,11:00,11:20,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/57
North,Thursday Week 1,Christian Malford,Village Hall,"Village Hall, Christian Malford",2020-12-10,Thursday,4,14:15,14:45,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/4
South,Friday Week 2,Chute Cadley,Pond,"Pond, Chute Cadley",2020-11-20,Friday,4,10:20,10:40,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/43
South,Friday Week 2,Chute Forest,Bus Shelter,"Bus Shelter, Chute Forest",2020-11-20,Friday,4,09:45,10:10,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/43
South,Friday Week 4,Codford,Cherry Orchard,"Cherry Orchard, Codford",2020-12-04,Friday,4,13:25,13:45,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/57
North,Wednesday Week 1,Colerne,Fosseway Close,"Fosseway Close, Colerne",2020-12-09,Wednesday,4,09:45,10:05,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/3
North,Wednesday Week 1,Colerne,Near School,"Near School, Colerne",2020-12-09,Wednesday,4,10:15,12:45,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/3
North,Wednesday Week 3,Colerne,Near School,"Near School, Colerne",2020-11-25,Wednesday,4,10:15,12:45,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/18
